id,topic,year_of_income,question,choice_A,choice_B,choice_C,choice_D
Q112,CGT,2024-25,"In 2024-25 Hana makes a discount-eligible capital gain of $8,000 on shares held for 4 years. In the same year she makes a $15,000 capital loss on an investment property. She has no prior-year capital losses. Following the ATO steps, capital losses are subtracted from capital gains (step 5) before any discount is applied (step 7); if the result is below zero it is a net capital loss that is carried forward to future years and cannot be discounted.

What net capital loss does Hana carry forward to later income years from 2024-25?

A. $15,000
B. $11,000
C. $3,500
D. $7,000","$15,000","$11,000","$3,500","$7,000"
Q113,GST,2025-26,"Nadia purchases the same new non fuel-efficient car for $84,500 on 12 July 2025, where the 2025-26 car limit is $69,674 and the maximum GST credit for 100% business use would be $6,334 (1/11 x $69,674). However, Nadia plans to use the car only 40% in carrying on her business, so she can claim only the business-use proportion of the maximum GST credit.

What GST credit can Nadia claim if she uses the car 40% for business?

A. $6,334.00
B. $2,786.96
C. $2,533.60
D. $230.33","$6,334.00","$2,786.96","$2,533.60",$230.33
Q114,Superannuation,2025-26,"During the first quarter of 2025-26, Imogen's ordinary time earnings (OTE) are $9,500. The super guarantee rate for 2025-26 is 12%.

How much super guarantee must Imogen's employer contribute for the quarter?

A. $9,500.00
B. $1,140.00
C. $1,045.00
D. $1,092.50","$9,500.00","$1,140.00","$1,045.00","$1,092.50"
Q115,Employment,2024-25,"Continuing Devon's example: his estimated tax on instalment income for the full year is $24,000. He paid $8,000 in the first quarter, $8,000 in the second quarter, and his varied third-quarter instalment was $2,000. In the fourth quarter he must pay 100% of his estimated tax for the year minus the amounts paid in the first three quarters.

What PAYG instalment amount does Devon pay in the fourth quarter?

A. $8,000
B. $0
C. $6,000
D. $18,000","$8,000",$0,"$6,000","$18,000"
Q116,FBT,2024-25,"Westfold Pty Ltd provides fringe benefits to its employees with a total taxable value of $5,000 for the FBT year ending 31 March 2025. The employer was entitled to GST credits on all of these benefits, so they are Type 1 benefits. The FBT rate is 47% and the Type 1 gross-up rate is 2.0802.

What is the FBT payable on these Type 1 benefits?

A. $2,350.00
B. $4,888.47
C. $10,401.00
D. $4,433.98","$2,350.00","$4,888.47","$10,401.00","$4,433.98"
Q117,Income tests,2025-26,"Petra's Division 293 income is $244,000 and her Division 293 super contributions are $12,000, a combined total of $256,000. Division 293 tax is 15% of the lesser of the super contributions or the amount of the combined total above the $250,000 threshold.

What is Petra's Division 293 tax payable?

A. $38,400
B. $1,800
C. $900
D. $36,600","$38,400","$1,800",$900,"$36,600"
Q118,Rental property,2024-25,"Felix and Marguerite own a residential rental property and a commercial rental property in a Queensland resort town. They travel from Perth mainly for a holiday but also to inspect both properties, spending $1,300 on airfares and $2,200 on accommodation (including meals). They also spent $80 on taxi fares to/from the commercial property and $120 on taxi fares to/from the residential property. They spent 1 day on the commercial property, 1 day on the residential property, and 9 days on holiday (11 days total). Airfares and the residential-property taxi fare are not deductible; the $80 commercial-property taxi fare is deductible; and a reasonable 1-day-out-of-11 share of accommodation is deductible for the commercial property.

What total travel expenses can Felix and Marguerite claim (combined)?

A. $380
B. $480
C. $280
D. $3,380",$380,$480,$280,"$3,380"
Q119,Study and training loans,2025-26,"In the 2025-26 financial year Marcus's repayment income is $92,840. From 2025-26, compulsory repayments use marginal rates: nil up to $67,000, then 15c for each $1 of repayment income over $67,000 (up to $125,000).

What is Marcus's compulsory study and training loan repayment for 2025-26?

A. $25,840
B. $3,876
C. $13,926
D. $2,584","$25,840","$3,876","$13,926","$2,584"
Q120,GST,2017-18,"Daniel is registered for GST and makes a creditable purchase of a 'Vello model' motor vehicle from Summit Auto in July 2017, for which he pays $45,100 (including GST) and receives a tax invoice. The vehicle is used solely in his business.

What GST credit (input tax credit) can Daniel claim on the vehicle he paid $45,100 for?

A. $3,758.33
B. $4,510.00
C. $372.73
D. $4,100.00","$3,758.33","$4,510.00",$372.73,"$4,100.00"
Q121,Division 7A & Company Tax,2019-20,"Coastline Composites is a base rate entity for the 2019-20 income year, so its corporate tax rate for imputation purposes is 27.5%. It wants to distribute $250,000 of profit to its shareholders. The maximum franking credit is the frankable distribution multiplied by (1 / applicable gross-up rate), where the gross-up rate = (100% - 27.5%) / 27.5% = 2.6364.

What is the maximum franking credit Coastline Composites can attach to the $250,000 distribution?

A. $107,144.39
B. $68,750.00
C. $94,826.28
D. $659,100.00","$107,144.39","$68,750.00","$94,826.28","$659,100.00"
Q122,CGT,2012-13,"Hiroshi bought 600 shares in WBN Ltd for $26,000 in November 1999 and sold them for $41,000 in March. As he bought the shares after 21 September 1999 he cannot use the indexation method, but as he owned them for more than 12 months he can use the discount method. He also has a net capital loss of $3,000 from an earlier income year that has not yet been applied against any capital gain.

What is Hiroshi's net capital gain on the shares after applying his carried-forward loss and the CGT discount?

A. $6,000
B. $12,000
C. $4,500
D. $7,500","$6,000","$12,000","$4,500","$7,500"
Q123,Superannuation,2024-25,"Petra's Division 293 income is $246,000 and her Division 293 super contributions (low-tax concessional contributions) are $11,000, for a combined total of $257,000. The Division 293 threshold is $250,000 and the Division 293 tax rate is 15%. Division 293 tax applies to the lesser of the super contributions and the amount over the threshold.

What is Petra's Division 293 tax payable?

A. $7,000
B. $1,050
C. $1,650
D. $38,550","$7,000","$1,050","$1,650","$38,550"
Q124,FBT,2025-26,"Voltway Electrical, an electrical retailer, provides its employee Dominic Achterberg with a television it sells to the public for $2,400 and an air conditioner it sells to the public for $1,800 during the FBT year ending 31 March 2026. These are the lowest selling prices, including GST. The items are in-house property fringe benefits and are not provided under a salary packaging arrangement. Dominic pays a total of $450 for the items. The employer qualifies for the in-house benefits concession (reduction) of up to $1,000 per employee per year. The goods are not used for work purposes.

What is the taxable value of the in-house property fringe benefits after the 75% rule, employee contribution and in-house concession?

A. $2,150
B. $1,700
C. $2,750
D. $2,700","$2,150","$1,700","$2,750","$2,700"
Q125,FBT,2016-17,"On 1 April 2016 Tasman Freight Co gives its employee Garrett Lindqvist an $80,000 loan at 3% for the whole FBT year, with no principal repayments required. The 3% rate is set without regard to how Garrett intends to use the loan. Garrett applies 70% of the loan to interest-bearing investments and spends the remaining 30% on home improvements. The statutory interest rate is 5.65%.

What is the taxable value of the loan fringe benefit after applying the otherwise deductible rule?

A. -$1,044
B. $1,484
C. $2,120
D. $636","-$1,044","$1,484","$2,120",$636
Q126,FBT,2016-17,"Ironbark Surveying Group has two cars with a reduced base value of $42,000 each. The employer entered into a contract with the employees on 1 March 2011 (a pre-existing commitment in place before 7.30pm AEST on 10 May 2011) to provide the cars for 7 years. Each car travelled 32,000 kilometres in the year ending 31 March 2017 and was available to the employees for private use for the whole year. Each employee who uses a car, including Naomi Castellano, made contributions of $1,500 for fuel during the year. Because of the pre-existing commitment, the transitional statutory percentage based on 25,000 to 40,000 kilometres travelled is 11%.

What is the taxable value of the car fringe benefit for each car for the FBT year ending 31 March 2017?

A. $3,120
B. $6,900
C. $6,120
D. $4,620","$3,120","$6,900","$6,120","$4,620"
Q127,Depreciation,2024-25,"Grace owns a holiday house that she uses entirely for her own private holidays. It is never rented out and is never genuinely available for rent. During 2024-25 she buys a new $4,000 dishwasher and installs it in the holiday house. Although the decline in value of a depreciating asset starts when it is first used or installed ready for use, the deduction must be reduced for any private use – and here the use is 100% private (0% taxable use).

What decline-in-value deduction can Grace claim for the dishwasher in 2024-25?

A. $0
B. $4,000
C. $800
D. $400",$0,"$4,000",$800,$400
Q128,Depreciation,2024-25,"Marco is a sole trader (aggregated turnover under $10 million) using the simplified depreciation rules. On 10 October 2024 he buys a packaging machine for exactly $20,000 (GST-exclusive) and uses it 100% for his business. The instant asset write-off limit for 2024-25 is $20,000, and to qualify an asset's full cost must be LESS THAN the limit. Because the cost is not below the limit, the asset cannot be instantly written off; instead it is added to the small business pool, which deducts 15% of the cost in the first year.

What deduction can Marco claim for the packaging machine in 2024-25?

A. $20,000
B. $1,500
C. $6,000
D. $3,000","$20,000","$1,500","$6,000","$3,000"
Q129,Study and training loans,2025-26,"In the 2025-26 financial year Declan has a taxable income of $134,200 and reportable super contributions of $16,320, giving a repayment income of $150,520. For 2025-26 the band from $125,001 to $179,285 is $8,700 plus 17c for each $1 of repayment income over $125,000.

What is Declan's compulsory study and training loan repayment for 2025-26?

A. $15,052.00
B. $4,338.40
C. $13,038.40
D. $34,288.40","$15,052.00","$4,338.40","$13,038.40","$34,288.40"
Q130,Individual income tax,2021-22,"Selina's taxable income is $43,000 for 2021-22 and she is eligible for both offsets. The ATO works out her low income tax offset as $700 minus 5c per $1 above $37,500, and her low and middle income tax offset as $675 plus 7.5c per $1 above $37,000, then adds them together to reduce her tax payable.

What is the total tax offset (LITO + LMITO) used to reduce Selina's tax payable for 2021-22?

A. $1,550
B. $1,125
C. $1,100
D. $425","$1,550","$1,125","$1,100",$425
Q131,Individual income tax,2024-25,"Diego is a foreign resident for tax purposes for the whole 2024-25 income year and has Australian-sourced taxable income of $105,000. He is NOT entitled to the tax-free threshold and, as a foreign resident, is NOT required to pay the Medicare levy. For 2024-25 the foreign resident rates are 32.5c for each $1 from the first dollar up to $120,000 (there is no $18,200 tax-free band and no $5,092 base step that residents get).

What is Diego's Australian income tax for 2024-25?

A. $34,125
B. $28,210
C. $24,592
D. $36,225","$34,125","$28,210","$24,592","$36,225"
Q132,Employment,2024-25,"Devon receives income from his investments. His quarterly PAYG instalment amount is $8,000, which he paid in the first quarter (1 July to 30 September) and second quarter (1 October to 31 December). In January he sells some investments and varies his instalment amount on his third-quarter activity statement. Using the PAYG instalments calculator he estimates the tax on his instalment income for the full year will be $24,000. For the third quarter he must have paid 75% of his estimated tax for the year, less the amounts already paid in the first two quarters.

What varied PAYG instalment amount does Devon need to pay in the third quarter?

A. -$4,000
B. $2,000
C. $8,000
D. $18,000","-$4,000","$2,000","$8,000","$18,000"
Q133,Income tests,2024-25,"Dimitri is single and receives an age pension from Centrelink. His rebate income is $42,000. The single SAPTO maximum is $2,230, the shading-out threshold is $34,919 and the cut-out threshold is $52,759. Because his rebate income is below the cut-out threshold he is eligible, but as it exceeds the shading-out threshold his offset reduces by 12.5c for each $1 over $34,919.

What SAPTO amount is Dimitri entitled to for 2024-25?

A. $1,344.88
B. $2,230.00
C. -$3,020.00
D. $885.12","$1,344.88","$2,230.00","-$3,020.00",$885.12
Q134,Rental property,2024-25,"Imogen and Rupert (joint tenants, 50% each) secure a 25-year loan of $264,000 to buy a rental property for $220,000 and a private car for $44,000. Their borrowing expenses (establishment fees, valuation fees and stamp duty on the mortgage) total $2,150. As this exceeds $100, the deduction is spread over 5 years (1,826 days), which is less than the 25-year loan term. They obtained the loan on 3 August, giving 332 relevant days in the first income year, and only the rental-property portion ($220,000 of $264,000) is deductible.

What borrowing expenses deduction can Imogen and Rupert claim in the first year (combined)?

A. $390.91
B. $325.76
C. $358.33
D. $1,791.67",$390.91,$325.76,$358.33,"$1,791.67"
Q135,GST,2016-17,"Hugo runs an electrical business and is registered for GST. He bought a vehicle for $55,000 (including $5,000 GST) and used it 70% for business and 30% privately, so he claimed a GST credit of $3,500 (70% of the $5,000 GST). He made no other adjustments. Hugo later sells the vehicle for $27,500 (including $2,500 GST) as a taxable sale, and is entitled to a decreasing adjustment because he couldn't claim a full GST credit on purchase.

What decreasing GST adjustment can Hugo claim on the sale of the vehicle?

A. $750
B. $1,750
C. $1,500
D. $2,500",$750,"$1,750","$1,500","$2,500"
Q136,Superannuation,2024-25,"Nadia has total concessional contributions of $38,000 for 2024-25 (employer SG plus salary sacrifice plus a deductible personal contribution). The concessional contributions cap from 1 July 2024 is $30,000 and she has no unused carry-forward cap. The excess concessional contributions (ECC) of $8,000 are included in her assessable income and taxed at her marginal rate, reduced by a 15% non-refundable tax offset for the contributions tax the fund already paid. Nadia's marginal rate on this amount is 37%.

What extra income tax does Nadia pay on her excess concessional contributions for 2024-25 (after the 15% offset)?

A. $8,360
B. $2,960
C. $1,760
D. $0","$8,360","$2,960","$1,760",$0
Q137,Individual income tax,2024-25,"Owen is single with no dependants and has no private patient hospital cover for the whole of 2024-25. His income for MLS purposes is exactly $97,001 - just $1 over the 2024-25 single base-tier ceiling of $97,000 - which places him in Tier 1. The Tier 1 rate is 1% and the surcharge is levied on his WHOLE income for MLS purposes, not just the $1 above the threshold.

What is Owen's Medicare levy surcharge for 2024-25?

A. $0.00
B. $0.01
C. $1,212.51
D. $970.01",$0.00,$0.01,"$1,212.51",$970.01
Q138,Depreciation,2025-26,"Continuing the diminishing value example, a survey instrument that cost $50,000 with a 4-year effective life declined by $25,000 in its first year. The base value reduces each year by the prior decline in value, so the base value for the second year is $50,000 minus $25,000 = $25,000. The asset is held for the full 365 days of the second year and used wholly for a taxable purpose (200% rate).

What is the decline in value for the second year under the diminishing value method?

A. $6,250
B. $9,375
C. $12,500
D. $25,000","$6,250","$9,375","$12,500","$25,000"
Q139,Division 7A & Company Tax,2014-15,"A Division 7A amalgamated loan has an opening principal of $90,000 at 1 July 2014. A $24,000 repayment on 1 October 2014 reduced the balance to $66,000, and a $12,000 repayment on 1 June 2015 reduced it to $54,000. Interest for the 2014-15 year is calculated annually in arrears on the daily balance at the 2015 benchmark rate of 5.95%: 92 days on $90,000, then 243 days on $66,000, then 30 days on $54,000 (365-day year).

What is the total interest accrued on the loan for the 2014-15 income year (rounded to the nearest dollar)?

A. $4,228
B. $4,165
C. $3,213
D. $5,355","$4,228","$4,165","$3,213","$5,355"
Q140,Rental property,2024-25,"Lawrence's private residence includes a self-contained flat whose floor area is one-third of the residence. He rents out the flat for 9 months (39 weeks) of the year at $160 per week; for the rest of the year his nephew lives there rent free. The annual mortgage interest, building insurance, rates and taxes for the whole property are $13,500. Lawrence apportions these on a floor-area basis (one-third applies to the flat) and then on a time basis (the flat produced rental income for three-quarters of the year).

What is Lawrence's net rental income from the flat for the year?

A. $2,865
B. -$3,885
C. -$7,260
D. $1,740","$2,865","-$3,885","-$7,260","$1,740"
Q141,Imputation,2024-25,"Tobias, an Australian resident individual on a 47% marginal rate (including Medicare levy), receives a franked distribution of $700 directly from a company with $300 of franking credits attached. He uses the gross-up and credit approach: he includes the grossed-up amount in assessable income and is entitled to a tax offset equal to the franking credit.

What is Tobias's additional ('top-up') tax payable on the franked distribution?

A. $329
B. $29
C. $470
D. $170",$329,$29,$470,$170
Q142,FBT,2024-25,"Park-Pro is a commercial parking station whose all-day parking fees are lower the greater the financial commitment. A customer pays $357 to park their car for a month that contains 21 business days, with the facility open 24 hours a day. Under the commercial parking station method, the lowest daily rate for all-day parking is worked out by dividing the periodic fee by the number of business days in the period.

What is the lowest daily rate charged by Park-Pro for all-day parking (the per-day taxable value of a car parking benefit under the commercial parking station method)?

A. $11.90
B. $32.08
C. $17.00
D. $357.00",$11.90,$32.08,$17.00,$357.00
Q143,FBT,2025-26,"Clearview Hardware, a retail business, lends its employee Sienna Okafor $35,000. It does not charge any interest, and Sienna makes no repayments during the FBT year ending 31 March 2026. The statutory (benchmark) interest rate that applies from 1 April 2025 is 8.62%.

What is the taxable value of the loan fringe benefit for the FBT year ending 31 March 2026?

A. $1,417.99
B. $5,692.48
C. $3,017.00
D. $35,000.00","$1,417.99","$5,692.48","$3,017.00","$35,000.00"
Q144,Employment,2024-25,"Owen keeps a logbook to work out the business-use percentage of his car. Over the logbook period his car travelled a total of 13,000 kilometres, of which 9,750 kilometres were for business-related purposes.

What is Owen's business-use percentage for the logbook method?

A. $0.75
B. $75.00
C. $25.00
D. $133.33",$0.75,$75.00,$25.00,$133.33
Q145,GST,2017-18,"In July 2017 Summit Auto, a GST-registered car dealer, sold a 'Vello model' motor vehicle. Daniel paid $45,100 (including GST) for the vehicle, and the manufacturer paid Summit Auto a $3,300 (including GST) run-out incentive that forms part of the consideration, so the total price for the sale of the motor vehicle is $48,400. Summit Auto must report the full GST payable on this taxable sale.

What is the total GST payable by Summit Auto on the sale of the vehicle?

A. $4,100
B. $4,840
C. $4,400
D. $400","$4,100","$4,840","$4,400",$400
Q146,Study and training loans,2024-25,"Bianca has a HELP debt of $12,000. Her taxable income for 2024-25 is $61,500. Based on taxable income alone her repayment would be lower. However, she also receives reportable fringe benefits with a reportable fringe benefit amount (RFBA) of $16,200, which is added to her taxable income to give her repayment income. For 2024-25 the whole repayment income is multiplied by the applicable rate, and a repayment income of $77,700 falls in the 3.5% band.

What is Bianca's compulsory HELP repayment for 2024-25 once her RFBA is included in her repayment income?

A. $615.00
B. $2,719.50
C. $2,152.50
D. $3,108.00",$615.00,"$2,719.50","$2,152.50","$3,108.00"
Q147,Individual income tax,2024-25,"Tomas is an Australian resident for all of 2024-25 with a taxable income of $16,000, single with no dependants. This is below the $18,200 tax-free threshold, so his basic income tax is nil. It is also at or below the 2024-25 single Medicare levy lower threshold of $27,222, so he pays no Medicare levy. (The first Stage 3 rate is 16c per $1 over $18,200, and the full Medicare levy is 2%.)

What is Tomas's total tax (income tax plus Medicare levy) for 2024-25?

A. $2,880
B. $0
C. -$352
D. $320","$2,880",$0,-$352,$320
Q148,CGT,2024-25,"In the same financial year, Daniel makes a $120,000 capital gain on an investment property he owned for 6 years. He also sells 2,000 shares he bought for $24,000 (including stamp duty and brokerage) for $16,800, making a capital loss of $7,200. He has no other capital gains or losses and no prior-year losses.

What is Daniel's net capital gain for the year after offsetting the share loss and applying the CGT discount?

A. $52,800
B. $60,000
C. $63,600
D. $56,400","$52,800","$60,000","$63,600","$56,400"
Q149,CGT,2012-13,"In October 1986 Beatriz was given 800 shares in QHL Ltd with a market value of $4,000. She sold the shares last April for $7,800. As she acquired the shares before 21 September 1999 and owned them for more than 12 months, she can use the indexation method. The indexation factor is CPI Sep 1999 quarter (123.4) / CPI Dec 1986 quarter (79.8) = 1.546, giving an indexed cost base of $4,000 x 1.546 = $6,184.

What is Beatriz's capital gain on the QHL Ltd shares using the indexation method?

A. $808
B. $1,616
C. $1,900
D. $3,800",$808,"$1,616","$1,900","$3,800"
Q150,FBT,2025-26,"Alpine Confectionery Pty Ltd, a chocolate manufacturer, provides a flat in the Melbourne CBD to its employee Maeve Donovan for the FBT year ending 31 March 2026. The flat is Maeve's usual place of residence for the whole year. The market rental value for the year is $49,400 (52 weeks at $950). Maeve pays a nominal rent of $7,800 for the year ($150 per week).

What is the taxable value of the housing fringe benefit for the FBT year ending 31 March 2026?

A. $41,600
B. $49,400
C. -$44,200
D. $31,200","$41,600","$49,400","-$44,200","$31,200"
Q151,CGT,2024-25,"Diego is a foreign resident for Australian tax purposes for the entire period he owns a taxable Australian real property. He acquired the property on 1 March 2015 (after 8 May 2012) and sold it on 1 September 2024, owning it for over 9 years – well beyond 12 months. He makes a capital gain of $300,000 on the sale and has no capital losses. He was a foreign resident for the whole of his ownership period and had no period of Australian residency.

What capital gain must Diego include in his Australian tax return for 2024-25?

A. $150,000
B. $300,000
C. $225,000
D. $75,000","$150,000","$300,000","$225,000","$75,000"
Q152,Individual income tax,2021-22,"Roberto's taxable income is $74,000 for 2021-22. He is not eligible for the low income tax offset (his income is above $66,667). As his income is more than $48,000 but less than $90,000, he is eligible for a low and middle income tax offset of $1,500. The ATO reduces his tax payable of $14,517 by $1,500 using the LMITO. (Tax payable figure excludes the Medicare levy.)

What is Roberto's income tax payable after the LMITO is applied for 2021-22?

A. $14,517
B. $13,017
C. $16,017
D. $12,317","$14,517","$13,017","$16,017","$12,317"
Q153,Depreciation,2025-26,"On 22 October 2025, Liam (a sole trader using the simplified depreciation rules) buys a new laptop for $9,200 that he uses 75% of the time for his business. He also buys a new label printer for $1,200 that he uses only for business. Each asset costs less than the $20,000 instant asset write-off limit for 2025-26, so he can immediately deduct the business-use portion of each.

What combined instant asset write-off deduction can Liam claim for 2025-26?

A. $7,800
B. $6,900
C. $8,100
D. $10,400","$7,800","$6,900","$8,100","$10,400"
Q154,Company tax,2024-25,"Harbourview Pty Ltd has aggregated turnover of $8 million for 2024-25 (under the $50 million threshold). Its assessable income is made up such that exactly 80% is base rate entity passive income and 20% is active trading income. Its taxable income is $150,000. The base rate entity test requires passive income to be 80% OR LESS of assessable income.

What is Harbourview Pty Ltd's company income tax payable for 2024-25?

A. $37,500
B. $45,000
C. $7,500
D. $41,250","$37,500","$45,000","$7,500","$41,250"
Q155,Rental property,2024-25,"Sefina jointly owns a holiday home she owns for the whole of 2024-25. It is rented out (and genuinely available for rent) for 31 of the 52 weeks at $650 per week; she reserves it for her own private use the rest of the year. Her general expenses (interest, insurance, rates and maintenance) total $26,000 and must be apportioned to the period the property was rented or available. Her property agent's fees and advertising for tenants of $1,500 are fully deductible. A quantity surveyor's report shows a Division 43 capital works deduction of $3,000 for the whole-year ownership.

What is Sefina's net rental income from the holiday home for 2024-25?

A. -$10,350.00
B. $150.00
C. $3,150.00
D. $755.77","-$10,350.00",$150.00,"$3,150.00",$755.77
Q156,Income tests,2025-26,"In 2025-26 Liam is 38, single with no dependants and does not have an appropriate level of private patient hospital cover. His taxable income is $84,000 and he declares total reportable fringe benefits of $23,000, giving income for MLS purposes of $107,000. As a single with income between $101,001 and $118,000 he is a Tier 1 earner, so the 1% MLS rate applies.

What is Liam's Medicare levy surcharge liability for 2025-26?

A. $840.00
B. $1,605.00
C. $1,337.50
D. $1,070.00",$840.00,"$1,605.00","$1,337.50","$1,070.00"
